id,time,possibility,possibility_Rank
2301,30,0.11031758366838565,2
2303,30,0.2671267709008852,2
2304,30,0.4017511807655965,1
2305,30,0.27206271320655095,2
2306,30,0.023543218891076443,11
2307,30,0.0812494067038344,4
2308,30,0.3193691932488741,1
2309,30,0.1756802738410038,2
2310,30,0.006806535727721968,7
2311,30,0.08912661792095784,7
2312,30,0.05857295636844745,6
2315,30,0.13603048083569672,2
2316,30,0.16903562424224192,2
2317,30,0.04238052211304221,10
2318,30,0.0833518649157393,4
2319,30,0.8900517727363099,1
2320,30,0.230681770033929,2
2321,30,0.11935272079872757,3
2322,30,5.078217863612269e-05,8
2323,30,0.03817899766024814,8
2326,30,0.9367006638054167,1
2327,30,0.033256696712494725,3
2328,30,0.3292209228179277,1
2330,30,0.014048023443680727,11
2331,30,0.08666745272924833,5
2332,30,0.15975477567695137,3
2333,30,0.01233382152568899,16
2335,30,0.09085450866780795,3
2336,30,0.07917264048925786,3
2337,30,0.47546529126750836,1
2338,30,0.09708518914770153,2
2339,30,0.6388739435901573,1
2340,30,0.12553176016896367,3
2341,30,0.15708053390285873,2
2342,30,0.04145752552683523,7
2343,30,0.4391298914196009,2
2344,30,0.7824293424750653,1
2345,30,0.013138797334940774,10
2346,30,0.10119513457615652,3
2347,30,0.050350204839166426,8
2348,30,0.03944597636080709,7
2349,30,0.20500204235453823,3
2350,30,0.18914497639455674,2
2351,30,0.044053109943972664,6
2352,30,0.25925035897228943,2
2353,30,0.012076869884714861,5
2354,30,0.12707562965124655,4
2355,30,0.7186035341184082,1
2356,30,0.13222989187876638,3
2357,30,0.4997648763674278,1
2358,30,0.007613918363070428,13
2359,30,0.04389566415471712,4
2360,30,0.007281092233572392,7
2361,30,0.16812153575606406,2
2362,30,0.039256946115969665,5
2363,30,0.06947209777481803,2
2364,30,0.04943012744047464,4
2365,30,0.8668773217854981,1
2366,30,0.18627798221449587,1
2367,30,0.06570674139364635,6
2368,30,0.19840825646340735,3
2369,30,0.22624024059916936,3
2370,30,0.13715704387921338,2
2371,30,0.09417129144517752,5
2372,30,0.03419138858480241,8
2373,30,0.06000497069822951,3
2374,30,0.01300800549385781,12
2375,30,0.01156931235074465,11
2376,30,0.1517658074006268,2
2377,30,0.24087359077434672,3
2378,30,0.0,6
2379,30,0.015938219635430004,11
2380,30,0.005029321464158852,17
2381,30,0.050219558247372294,4
2382,30,0.011702490425205136,5
2383,30,0.010505214142109818,9
2384,30,0.22050013092870546,2
2385,30,0.012531281715851906,6
2386,30,0.3667164646167138,1
2387,30,0.4349672071554711,1
2388,30,0.6093607914250854,1
2389,30,0.09307516174373932,4
2390,30,0.11070558277853963,2
2391,30,0.9458458250462737,1
2392,30,0.3803966019566481,1
2393,30,0.12277835540652136,3
2394,30,0.0059962355741021555,8
2395,30,0.05785212407690467,5
2396,30,0.4967738558983759,1
2397,30,0.009865335937204464,4
2398,30,0.07300192282473342,5
2399,30,0.025599895016944405,16
2400,30,0.325257384357151,1
2401,30,0.014100644853025309,9
2402,30,0.013939152913820384,13
2403,30,0.151204252140442,2
2404,30,0.11931274064931224,2
2405,30,0.3189831679796146,1
2406,30,0.03301452668740071,7
2407,30,0.008773457223887221,9
2408,30,0.048479594396378216,8
2409,30,0.00729645407265757,5
2410,30,0.5190104915229298,1
2411,30,0.0649409097049556,6
2412,30,0.3422017240104683,2
2413,30,0.2577535665666238,1
2414,30,0.013170006178814237,18
2415,30,0.019712647570099634,9
2416,30,0.9454786490325909,1
2417,30,8.367165156418233e-05,5
2418,30,0.5223618517441865,1
2419,30,0.04959168046132157,5
2420,30,0.5865186104728635,1
2421,30,0.7938472950654868,1
2422,30,0.03695433253602709,6
2423,30,0.342640552683991,1
2424,30,0.02552111539475027,8
2425,30,0.7569130676671579,1
2426,30,0.009484886234262429,17
2427,30,0.313652829525,2
2428,30,0.021639656871424863,4
2429,30,0.0180489466170982,5
2430,30,0.2965441944277,2
2431,30,0.048872324865120956,9
2432,30,0.044089795250671936,5
2433,30,0.6579973280014229,1
2434,30,0.01106110607859792,13
2435,30,0.08902399421393041,5
2436,30,0.032378961249325836,9
2437,30,0.09073321608180888,3
2438,30,0.1117648981913065,2
2439,30,0.04093853264145892,7
2440,30,0.07374382748658403,2
2441,30,0.007225330644535023,8
2444,30,0.0,8
2445,30,0.08799594833701545,5
2446,30,0.5723222728195824,1
2447,30,0.3113993334899523,2
2448,30,0.34781244404551076,2
2449,30,0.030257165175717186,9
2450,30,0.00880296605131364,9
2451,30,0.1703424810350024,2
2452,30,0.020118648079474076,12
2453,30,0.13775576574355233,1
2454,30,0.0980167245521882,4
2455,30,0.26735383925306966,2
2456,30,0.013561344696627014,14
2457,30,0.33814118924556513,1
2458,30,0.7482310907310843,1
2459,30,0.051711078411915135,7
2460,30,0.0077881706389435045,24
2461,60,0.02050613393123427,12
2462,60,0.36196700919719765,2
2463,60,0.09283645905026461,3
2464,60,0.04451109051871944,3
2465,60,0.9252745221485899,1
2466,60,0.23625449952376715,2
2467,60,0.012844569403899716,12
2468,60,0.49873845295340224,1
2469,60,0.05518916090207334,5
2471,60,0.11594286285068649,3
2472,60,0.039893075004436604,10
2473,60,1.0,1
2474,60,0.2265622449073149,1
2475,60,0.19856665907500914,3
2476,60,0.13804635118980726,3
2477,60,0.9996214823435385,1
2478,60,1.0,1
2479,60,0.8898958068554859,1
2480,60,0.030726093589813402,10
2481,60,0.004177074863182602,2
2482,60,0.02416320334558035,10
2484,60,0.009535510632219817,10
2485,60,0.8805296048107124,1
2486,60,0.30698769756748623,2
2487,60,0.5932999972871185,1
2488,60,0.8856110950378013,1
2489,60,0.06757705565673555,5
2491,60,0.021767836057098006,7
2492,60,9.444089285661153e-05,5
2493,60,0.09784735462181289,5
2494,60,0.9116663805869917,1
2495,60,0.8106252620503206,1
2496,60,0.0,11
2497,60,0.008609488713372991,13
2498,60,0.6464967040263851,1
2499,60,0.16340079078054995,3
2500,60,0.010337044890905873,4
2501,60,0.03315691055054825,7
2502,60,0.4005032518989166,1
